plaintext        ->       ciphertext
3d85afd241cf9f0a -> e71ddb1b243ec391
d49ee40d5c579cf9 -> 5074107128ab7247
17fe90ae3deb6c58 -> e8ec2715e07a01d6
d60239451830060a -> 422d3a29a5478f16
1a5d8589008f91e6 -> 113f4cb276afba9b
fe1a07b68db05f8f -> 908e095c17f8c6b7
18610802fa158a41 -> 1d3b6dac00837a91
87fa6f7904898864 -> 422050e826add8ae
29f506d27a430a85 -> c9344ab94c4b6d56
eb68fca5353e79cb -> f2f34a00c2622017
6bb4e132d40a2b0d -> 4144bdf134b53f0e
30609d391bada86d -> e28e1c0c947f877c
47b7d51e517aa844 -> 7eadc8caf22e4da2
f437a02faa0bb87b -> 79ffd1900f7c90f5
81656154369ef861 -> 37fed8e0e1cf091b
3f96cdb8bc8c799d -> 5673b747a638a26e
c8136eb589c3ed4d -> cd1eab4b946e6630
5f30af01190cc03c -> fa1c9ca812852716
362a878429231578 -> 640a4375068ed4e3
76f413a33167d169 -> 47e535ce268b66b5
2179b08e100b38d1 -> e27091c305848a71
fc36ab2b25653202 -> 74b996e33d7972d6
2f234d1126d2c88a -> d4036eb02d1a05a7
65e70593d45085d4 -> 6a59d35d5eee46e8
461eab02946508b9 -> c19a42e59cc8c710
da0f6a90967c5210 -> 3e5298cc953c4b6e
e90d306c434ae2f2 -> 0c52cbee8aac89c8
fcf6b249f9556088 -> ac733fb550c7b53e
5fe56655682a3067 -> abc2cafc6730ae1e
470c37e4dff6ca91 -> 5dec5ef912c7f25f
dbc9e9fafd150664 -> a49b983132971c16
138caa82b2dfad62 -> ffa2f0c67adb6fec
47e6a107160d4f2f -> 2a5f04323b58dbb0
f61a1dc5b0a21dec -> 3c290b99a76c26d1
f29164f0d9d4e531 -> 198b97c13cb6fa84
1edad71fdd94f6f5 -> 746365d97527c389
451c4449a0f47dba -> 6198658389fb8f7b
2e68e388c1a0c66c -> c3bc2131184f42fa
f1ae7a6f97d66821 -> b0e08ad036a4bac0
4039c2eee1a034dc -> 4e16b50bdbe5b2d7
3cbb6f55edbbb4ad -> a78adaeb0207bde4
9624356f5d065b45 -> 8a84370b8b488472
afed257c7ef52b3c -> 5097979f4edaddad
e9c38b15597cfdb5 -> 33f83ed4f5f49a1f
d408301ece86d911 -> 4295eb85495bbcb8
005b8d5b4540c122 -> 017b9ba92b31573e
96633358d538a691 -> 39ddfb610184e811
cf1e4cb789bf577c -> ec0ca0f54c6dda3c
2f1f12febdea64b4 -> b6a8c88b12baba02
9b872a56389cb3e0 -> 1691589ba3c9dd95
28a83802e57e2e3a -> 1097d0a97d96eec4
b346e5c869a2899c -> f4527c38e6e491c8
6a77a9575cf2a978 -> 8bda2455e4a32e9b
0c5dbe6ac484ef26 -> b7dabdeb143e3860
0e4b1dcfb684147f -> ace4f7dad7c8eb90
10d7d68735ab1d42 -> ffca06a6ded0e136
94c9fc23f913512f -> f22bc1a7e16e7f3f
ca23d4485b70a95a -> 73a28b983f3282bb
8a88b7187ec13bd6 -> 29be43d84595c1bc
2ef39b9da10d4327 -> 27d174a293b865b9
e29ae986c7ff6b6d -> 2a388c9ba99f5bf9
80d8ef5bfad61dca -> 31d06eaad8b14d0d
2c2a1c056eefc2dc -> 8e8a42e7c180ab9d
bcd79db9924ba250 -> d092f87d3c93e8a1
072386aad5492a50 -> f43f6f99ccf690e1
243c0ef19dcbc1eb -> 80313dd7a504cc33
88541c5f86d537de -> ad878989eb4a56ef
e9951a22bb1cc1ef -> fcd7ada1d0c2146f
8fe6a2fd6211ce08 -> 178c745f157c533c
9a8481d78389f5d7 -> 068d590f1a06844a
2c10a18ec4fbbefe -> b3d1863482b2a70e
35c16e383404f467 -> d68104739a4f7f36
c11114cd0f1c777f -> fe7879ef0bf6f760
ff624ffdae5d5611 -> 3c1159e2dc663766
eeab16ed238576eb -> fdabd35295e5bedf
02bc579678690849 -> c33830c6be9637fe
38213c718cbbd170 -> c8d3af24efb36e84
2909f4c60d804d93 -> 6d34dd0fafab5bdb
38affb622b8718dd -> 408a06cb6584d74b
a849175844b70169 -> 1ba2adfb178799c9
ca5cbfebd22a6c9b -> 9807b8c1a3133ebf
d982e476152861bc -> 348c1eeb1bf3d164
2d99828f10947c10 -> 3ae04c3aeddf5029
74ecbd9ba5a87579 -> 71a97f65886d4a00
7d811eb85f6aa10b -> 99943fb1b50997cf
3df21a5ed7dda034 -> ccc3d9cb0389fe9b
19f4368de95fc911 -> 3a6ea6409dabd63d
251569e860e3cea2 -> 48581057f6ebf2fd
3f18f78f69b22e30 -> fe8773471d6c090e
96614cf9f0d61a4f -> 1be21d5eb16aec2b
6144db608a1d37f9 -> 2d5a26b6edf044a6
edadef270e4b1d38 -> 52497cf896dad77d
230de0e0621e84a0 -> 7734bc49e324d0b2
87786c31a1ee8eeb -> 482c9c5e0e57892d
eb3ed3afe8d202c9 -> e21afcbbf8336153
bcafe9591be29467 -> 17647733939085c7
db7e902918c378f6 -> 23edb439b9b62a54
f70bf3f838ad1cf5 -> ace8c83280c48ecb
48ff1feb53599770 -> eb6f5a877664c137
4824102ff1d2afdf -> 3b15062a8dc3060e
f3eab0f4c45a820e -> 20476b14a3168ae1
5fc84b7f58e172b5 -> f633839a3e866406
487f5e345d5ce547 -> bfc64d3ae79d697a
d10d00cf1158fb9d -> b2210b2cbebcde91
2ac2d69f6bcfca01 -> cb8bdf30850ebd6c
f45cb83b12674454 -> bf2f68cdd7d209f6
88e39f6c4521e815 -> 374eab3218b2a919
2d7e89738ef5e4bc -> 6014f2c17514daa0
00112567736ac494 -> 1b2502369c344a2d
677775608c007f90 -> b4ee14614551aca6
95a53661ee3ff700 -> c8bc410f43512c20
38edc06af03c3046 -> e9b2db0582c1f37c
f788757cddb0f17b -> f01ac2db61fc7f76
cd014ca5259e2818 -> 0be2a53059fa7919
f026f9b64a0c6823 -> b87eed2f657eaa5a
f5471a6337ebd459 -> cf32d155b8ef7824
0e8b62278887eea5 -> b9ffeeb952cd4753
1509034e3d2a11d1 -> f819df694ca5c93f
10670c85376beb2f -> d964491f1519aafd
885c7fd72eefce2b -> 4488c79e18d7cf09
336707e138351642 -> c485c31e27c0be82
71a54a780f3d2bfd -> 1311cd28fdeb2ee1
7bb313a959007998 -> 813657c60d62fc67
e103972b9004e184 -> a9ae41bfef1bccd1
913a2d4d70eeafe1 -> 6fd3f6d2a021576a
3418295d191fb012 -> c847360d74e2b606
c5dd9cee66a2ada9 -> 8c6009e6b4a55980
dd65819c7bcdd64c -> 48ee2c0fcc518e1a
061cba436952c67a -> a80e5ad6f3a0a993
f087162e69eefd1a -> 06cdf7d217287b41
0607accb82fc24ab -> d99ad9071a98d397
8f691a27ff42294f -> a6b705e456a7f722
e08f9952cf7fb07a -> 841ca0892c463ef0
c69976c59d0ff8b9 -> 989974b6bc80b29c
ac1954f6f1db4d2c -> f1455c63335f01a6
735f0e34e4ed9793 -> 6b4a4cbc9eb0227c
916bdaf25ae43f8c -> 73b665355dbe79e5
f78917cfff94bb04 -> 82c0280ffec5c943
803b8176752745c1 -> 7ea683a73c670bc6
45f26e67cdfe961c -> 61eafee6f73c1a8b
b63327a92f36c4ad -> 6d245542754c86fd
ab69550ba8f5e6bd -> 225d85394cae0720
f9ad7180e5397fe4 -> e3545eb3efc306bd
4479ee7847c0a3b0 -> 54e7738cbf5f7037
8da27aa4e4d8388a -> 8d2ca7c147d2f9ec
4e1b2943a43b958a -> 61bc09bb1d190049
3758c1e67e92fb0f -> 5fb0bcc573ce0151
a66aba101a74525a -> f39783c016b588b9
233febadb43ae88a -> 5b2095ce2c1d714e
e073c7ec4d7199f3 -> 19d0f9c020ec1688
12f534828ee98109 -> e50ecc8feafd40cd
b7ba2c7886688f5e -> 7b4fc846892c5eb3
6ac90970e78ac463 -> 66a9659d64745d8e
187128ca865c6064 -> 665dfd887f5d054d
1c40d25b630a117d -> 7641d9fe7778a313
116b241a847d1bb2 -> 2821029b2dc2c7e3
c1827f134f388890 -> 29aa876cb3ce8c91
268b5e91a2e1a43e -> 7061533548907d4c
37846f9c537bb2ee -> be9e06aefb362af7
cad501ac38c52b20 -> 4796b64a4eaeff75
29d08f87fec12e4a -> 63873869cafcf2e1
fc325e3ef1d1b11d -> 879da27389190dae
b8094f06788ea264 -> 98655b9f2b19807a
7a6aefea9e5c859a -> 985880eadf448bcb
3f21c224814641e7 -> 78d6f44dc1d80651
2ec49c693e1e3d7f -> 36a00da98899e0b4
be6076555986e7de -> f49c23d265933a81
50b234d1edb02ff3 -> 85043c925b1ffbdd
78052a173d896af0 -> 8f73d590219bddc1
a71135ba6ef5c524 -> 430bccb51843e46d
d8ad0b7696bf39bb -> 05aa02e77ef28154
d3978756c91f2d90 -> 2e67262dbaff984e
3c4806ac9e125749 -> 2c21e6eb4ab6d093
befeb8f84ec67f9a -> b15fab24f27f3bd3
68602560c6b48912 -> 8a3c85a4fae9dcf4
6df3e143959cb563 -> e4a634e167da9ccb
14984da5b6d6cbbe -> 5042c5367230ffed
ecc50d3f6be4ce02 -> de41ef0121e132c4
662f470b43c72565 -> 070751a39999f889
9025d6c8bdf0865c -> 7f3a5c0be1487189
51bad217ad05ad65 -> 96ae182fe871cbb6
59f965c7d798e6a9 -> 5e919fc7e51bd3f7
c81e3049fa77716a -> a4a532f85bc2f3df
b1cb5203f5065cfa -> 4b4c1ba292332264
24709768d8b8b783 -> bc46cbc97f1548d8
468cd0b4855ca4b2 -> c91062b3ff7840d6
65b5d4dd892a5502 -> aa19c77f9765e02d
8016213a2f76025b -> 3be58a60c3d86a5e
cf4f8c5d25cd03d6 -> 7401bbacff1e2b1a
5215b4c0f24d1012 -> 048855c80531afbb
ebae701f72af92cd -> fc693978dc6b6c01
40cf54b425d03b44 -> ea982abbdda7b5c8
2c0b6426fc9c8210 -> 6ffb3d818136babd
3c226ff91236d428 -> dc5bfebcf949b60f
d2cf924a0ae6e774 -> 078b4d957aab75db
d7e827c7606a583d -> 936f596dc6f4acbd
62dabb5a3bdbc6d6 -> ff3e891dee1c335a
d74dac573998ebe5 -> fcf5de666a8f3ad7
fb2d1a5326065e21 -> cac1f9566a053eac
ec09ae78b160b980 -> a1247e4ca53c5300
6e55e222fa84171a -> 557b6c5235b10c5f
384b0cae20522551 -> c4187bdf0367e585
7bec6bc574be9c36 -> e5a4b049a71efde2
f98c9641268be41a -> e948691a8c57b703
ef8b882b9d9e872a -> 0a420f835046625d
51e68defc1855bcf -> 9dc9b4232eb2589a
d1333e41b5d93d10 -> 92b4e8d46439442f
355beebfe7a76174 -> 2532eb3b98d90dbe
b9fe3cf216ec111d -> 41d0a88322ddbfb0
67eaebbf317fd632 -> 80a6163b3ecafbb4
0dfd0dccd27b1b4b -> 2115cdfcd3b4495a
0809c1fc9f23f90f -> a8ebfb16dd52b97d
92da19aa3dcfc9dd -> 0a3740b5ae2b8054
c169c70975edefdb -> a6e6a550dce63d1b
3a7d177c7af484b6 -> ebdea1309b0cab8e
17e521ebc697a872 -> df2f6a0a7c71f453
af8b9fd767ff76b6 -> 435abe476997ec98
ba2f7420ea774204 -> 5a6a1a796432e99e
ca13c01256dc1c85 -> 19952355df1c6dbb
49d9c54e7ea980b1 -> 9529d0d69ca86d1d
c626304ae90654ca -> 9bfc4a7fb33aa117
0368500a1d962f8b -> 9f075245dba34797
26b6a06cd95b061f -> c2507077bbf1149a
726ee0331dfd4b2d -> 4dc6329c9e4f815b
17df52b54f87bb55 -> b0d667cca79aec98
deadc796562e088d -> 13cccae80c65b1e3
5244ef0e661bdeac -> 56266c77a1780657
d1a1be71fa67769a -> dd6fcb08054bfe1b
fe277b165ffe58a4 -> 02c68f7f0f7bb6f0
2410be6a31b1ce57 -> ca10b5fa0e2d3311
6bb30ea6748a905c -> 2412726a84cedd0e
0ed5ec6be0a02671 -> 569dbb1f0ce533ce
4cf917d67f191629 -> 0cde9cc3cbdba16a
eab7525a23c71ccb -> 90d5f0a2e0363013
cd2bb14a760cf665 -> cfc9faa8e35c977e
a73cf27218de1b8b -> f8dc020287878a14
3c62744b1e38833b -> 16452d5966823a93
1b5527b6f4f51d99 -> 9b4190df839e05d5
407a803895a9a312 -> 29eb9fdad506d297
7c49d2a4376d9376 -> 2f3a600a73c81df3
e36711aa59c71f81 -> d38752b6abf7aeb4
27b812d20358107e -> f8da8ee81cecb44f
d0565e477085f32d -> 915baa56561d2351
8cd67612a0267805 -> 527abb81bbc828fa
b283af19e1a57c07 -> ef3b535cd18d06cc
4d68f8cd43803950 -> 5846857a18b035af
710b035425165e05 -> d40fe5041035f94d
ef17ae3946ebae4c -> f084cae61e607b05
e286c2733adc1cf3 -> fc05e10ef0f39f3d
c3f232b212fa8561 -> fc9dd6e0be70d82f
9f033751f7067ec1 -> 5f2ef48294e60d71
01fca1f3bead6d67 -> cb6839ccb7e7627d
fc9d392011eaa8e6 -> a55848f3b60d0517
14f38d4ba7a8da42 -> 0ee439257cb4f100
03a2bd093650374a -> 37c62d8bf9b02837
035be33e03f1a441 -> a3ce8728112f3610
c873c37e5981f0e0 -> 0ee0f5c9f98f9097
01914146eeb3bff0 -> e70649fc23957985
001cecb46c76195b -> f2154506cd4f1c5d
915bd355d2d67322 -> 7f53ab9a15863386
614a68cfe0f44763 -> 9102adf84d581a69
3db736d11cb35a41 -> a87e19425598594c
74e5fa48b55a6aa7 -> f80aa70c3cf0c24e
85fb59fe22bf98a0 -> 2225d977626af679
765d91a02d01bd3e -> b3963559f9396283
770422a7dec31827 -> a6d955b37a637aee
ce0585141047fcc0 -> 928890852b79b713
88c1bff11d30e62c -> 628ee93b53607179
fdc40557f7ab787d -> ed0d63c3e553a6e5
f3cbc7bb74cf108f -> 061943cc99fbc881
a51b00473d5ab4ef -> 2773af33699f5e24
0da36c0a524955b3 -> b8f743de438b619b
0c1505d9ca07d1a4 -> 8a65b8c15825e391
a7f48536a50c7b9e -> 8287c64780311f00
ce4559b8247c54ca -> d831907ce9f8c5f5
a2c0014b862fda07 -> 79dcaf7920eabbf0
8641182232596dde -> 4e6b5881939a1238
221431d6d90942e0 -> b1c32aece1ac5aa5
61ac665d2a964cfe -> cc04d0c40b96e4cc
a9ff9e599cc16cf2 -> b1f8cdfdd46c7b06
aa92f32e011d873c -> c8864259ab9172e3
c83140c4ecb3cbe5 -> 15c03075020eccff
49abd1ee6192a8ff -> ddafa960a684ac12
f2c05fa13c381580 -> 479f7760c5b77869
959d182b6a3a256a -> 96bd150b2304ea03
16e0e227acc3f9b6 -> 6e9ac6e30db08f41
a3dd66da91f384d8 -> aa59975e518523ec
b2056d90a53cd586 -> ab4b5c4be4d262e8
8d6bfb678943bfd4 -> 72d025a63668ff01
3bc09772e5d8297c -> 28e0602dd4daafe9
9c392beac1ecb02c -> 950f789553342850
4782371a127be6c2 -> 2bfc7ece24b3dde0
b6c7f78480f9e2a3 -> db31af39ca127e64
58bf3e89be78e2a2 -> 247ac37aee14ce46
4b3d76cafddd41b8 -> b75bc32af53e9e64
3d29fd10ade64b2a -> 5c466c94b883e3e3
10d4c1702226864e -> 273dad36460fe93e
4f834ed8478ed9a9 -> 2b4656ad36f90e35
1892fbcae4f260c7 -> 90ef290b8a82685a
eb41bf8c23e490ea -> 6ac42f368b8fd0ba
e79d31e2a04cc05e -> 53e72f9e10475d0d
070bfdcb5d1687c8 -> 73edd820cacee0f6
b75698e13d15ade0 -> f5b39d9d6b2e81c2
7e9562cccafaf3ec -> 029a6ee4e9f47be5
45d6207eb58283f6 -> 4b6cf5ffa291717c
939c4e2dfcbc7c1a -> f2213e1458adddc5
c957ea0953f29a55 -> ee0a2fb3c80128bc
2eb9ae87f7099944 -> 4be3834c07cf8be0
1e3b1987fc521acf -> b071b1159009a7ab
0dff4e41af60e415 -> 66cd0dba59b985e6
5c8c01d90e229956 -> 7bce57773222bb66
87c018e5485bb0cb -> 0dfd473796f544ff
0e4ffff4b8a3d629 -> 8a39fdda6f56c3b6
f63e386c70b6a942 -> 82a2782f7ea1d03d
a80306c6de1ef0d8 -> 881cf3e6e2af1fe6
4d780be5b47eedc8 -> 1589faaa9937856c
1fb619adb8300a74 -> a50828bf16834df2
8912bc2235986015 -> 0ae93d0071ef8700
d6351e4975f52d39 -> 78bf53f9c7f683fe
986d993745e0ae6d -> 036a4e43badd9753
ca06a417c2aab530 -> 1f3bf0bb35d70110
bc3a156fcb828ff6 -> 67f5509791c6d507
a2fa041057e4fa12 -> 2dffa731d58f6d69
e0284d524beac06f -> ced63c49c4f62add
93aa2f11e7fac9f4 -> 99b2fe5b82a2fbbc
bdd637f1ac6fbbbd -> 85f0267502f34a73
955104627269e040 -> 1430fc8df22349be
6425dc95fe9849d2 -> 8349ef8b19dae275
6ae308d9a35d4665 -> a94271638216a6a0
ea7f430790e99847 -> 2f343f5122faf7a1
d472ef1dcce216c3 -> a3163c5f54b09053
f3a06a3a561a4da2 -> 144b1a65cc38de59
e7da9ac96726d67e -> e132b54b441d763e
e505af9cb223b823 -> 2808101d11b885d1
31ae4ce51a03b06f -> 9424bc106b66f245
87cc3a23c2fe03d3 -> 005a463b56192927
102de71767ad3961 -> 556ff2de4f84b687
de0d3b6ecdaf450a -> 651ce0b3bf8359df
73b3bbc4a60ad217 -> 30406f37d8a959fb
1695eef91c71ec9b -> 687d57ab8fb974da
b42f42be419f3a2e -> 10a83fd19c3650d3
4d6ea8d085e144fb -> b55fc5f350bfaf00
3fcc8d2bf7f9d6e5 -> d0bb7b8633407b28
3ea70e8129ecd265 -> 157cd07764bf61bd
74dfbfc58e9d5212 -> a4d16a0e18228af5
0655e5918d9f3911 -> 420f0e1eafc5aa41
9496e09ed6395d05 -> d6ed8e59f1271fa0
ef986e4a08d5df9f -> 23c28a55d6190b23
22376f33dff4defa -> f97f8ccd0e9ba2b4
d1e3366e3976a569 -> 3ad692c7c6cbe9c9
91122fba932c7d9a -> ceb7c8fea0939b60
2229cc9acfd616af -> b3b2e0d3920dd7c7
73e2701e3374c54f -> 8c5b810d4f7bb3b7
d70a737bd0b51d21 -> 031082a65ddf2ae5
a033e09876f2b24c -> 8627462de080b0a2
1b48b08663e8a234 -> 2cc7d724e1cab93f
766dec679f5f0a0b -> 56a1ea7fd5058b90
3474555cc8df05bf -> b6f06cdfc353b7d1
c204123173022419 -> 3ec3d037d78154c9
fb9fe88920ee555d -> 82ef29a35e5a198f
d47950824312ef0e -> 9e35a0571e0e21b2
f7f25d4a08a4c907 -> e82ec11a2bf4052f
a22148e4b9dac5b0 -> cfc9efacbe0e58be
0ad40f970368d711 -> 39de3474abf95723
ce8c3fac88e09bcc -> fd17a119a59bcbe6
3bd7cb06c872e527 -> 5507e2d2692df803
7ef56c015fb87ece -> c13485437fdd5f8d
3c13faaf8b5c6f79 -> 672812f2434a6863
7f8d5054d07fd47f -> dfa29af4e4b5d226
4e3fabf55c5de2d6 -> b6dd04ce04dfa2d3
b4b9908902fc02c9 -> 37b1470b72c314d7
e7f0673a0650a0e6 -> 4944359ed4e0024d
5b603d3043e9dcd9 -> b7655d0e5a6dae2b
87f71e99478b2d5e -> 5a7d43eabd303f19
9b4e885f6819d595 -> 617985d183ef430e
2ab4825d6d4ddaa9 -> e71885e593c6b952
8f59919c99945a25 -> 9b3426f964e7ea88
76331807130fd775 -> 8f602f2c3f74620b
04e8c470a535aadf -> a2a174151e259afd
18d1e1ea380845ce -> 7c18fd2fffc8e5d8
1646b662c2c852ec -> 73741c66e15173cb
04db260824e69ac3 -> 5e5f7a16980aab49
6421e4cef79e7204 -> a0935cf69875dbd5
886f5ab736a4c20d -> d2017f57833bab34
039b4bcd1cbbbc2b -> ca32939eba955dd3
7a009769fa934094 -> db9995e0499c3b2d
436cfdef1c93e69b -> a11e42184032b8f1
31dcbd0d68312452 -> f2516df313bc02f8
f30e29bf2fd611e9 -> 10538881a3acad12
e517dc13ff4fc86a -> b7ab903c81dd5309
b4dbc0b650217217 -> 5199f5fcea6f0a2d
10054a128272d7ea -> 007b81797612565f
6eaf8adbfba55b61 -> 676c485952c18dce
d758a3f791c3fcdd -> d345b175db2b5d39
6d21e1487ac38ec7 -> ce026aee920e1f88
36342777ff5f354f -> 58be91d781424c00
840974e4b6c0cf91 -> 15108b4164611e34
c1fb72f06266ecd0 -> 3eb3f93248e25bbb
8d763e169a533fa0 -> 77ec6dc3df71d83e
64a7b6a38a537c1d -> d4b4203e33df0797
370c2bfe6c7b1957 -> 2570675c6d898242
640053bbe4a06180 -> ed380fbbf26ca55e
de905532dce5e2dc -> 441b15d1a722a05b
f610da00112f66ef -> bdeadd07ad05da3f
0b1097d051d5c440 -> 1f01d89398fff594
f23fff2cfc4566dc -> 002441ae0b146ac9
88d376ce09752191 -> cb8ada1d7013858e
dcc01255191cd158 -> 930cc454fbe74a64
d5523ca1655713ab -> 2e822040bac6898a
2bd32c606ecdd73d -> c3db60338c916de6
603804182683ea46 -> 87af0e6e568b4c33
87ecb0c5ecd06e9f -> 8aff776d9414aaa7
a83ad452778ca78a -> 0c3c1ac025dd149c
7b495ede5496bf7f -> cbc1c863b856ec43
e5e086d078f74da4 -> b9a92ad6b16fbdc8
513e62138923b04e -> eb9e5f20f69c2e28
e1e79d441c4b20b8 -> 18edc298f4e83a94
63353fb5ca059137 -> 19c9da20743575b3
9eeee74ef40087a1 -> e2075847183ff000
e6bccaa12b1dfd52 -> 21dbe63b078ccd09
302fa2c59190c300 -> ffeb76b67ace5f75
76090a9704b51f1a -> 47b65342f2d7b16a
1864ffb076e9ca37 -> 87e04f12d0b13b4f
cc083a5e633053d3 -> ab59bfe992a9511c
c2de2a5c63270ffc -> d2220b801cc1b785
538ff9b27aec1455 -> 59057cf65d61f8d2
5c91065ad289e7da -> c9cf8dfabe56598a
5ed617a80fc60c42 -> b8e8e592382a8159
069a1fb541f7cd39 -> e2fc2dd089c63d11
0f871cea40f58a80 -> a6535a1f1f9a3991
9763ce63eaa550ee -> 23ae776525431408
e6b4b40ecf81262f -> 51f5385486b6e019
72a7ee6cba00ccd8 -> 47104af55869adfe
080cc4758b24c7e4 -> 7b43755d3829dbcd
e291a6309e4c46e7 -> 2d640de65fa4f719
8947e0d7ee49ae86 -> 74af5a141b4cbb05
3a4fe7250dbd4b80 -> d6d7d1300875ce18
a48c7620c1e7b685 -> 1154e20fcd5d8b80
86de588e184a9f65 -> 97184152aa3c4f25
8233bbc16efa1c51 -> f9aca6ac24e7ae6f
ebcf4777e24c3547 -> 5d528c9a2140b6d6
89b99e9f55bd6434 -> c456218be85180dc
543272b7769d5caa -> 4a4ee5bb2038dcbd
f04b4432cdec8b5d -> 5ddb90bf9a89e524
755bd60ff9169df5 -> 787efba5b0935233
0688f771123b5c64 -> 1b8f2f6646e8dc27
f3d8824010f064fb -> ce64c670a1abf181
f1f1260029d5d850 -> 90cd71e5f75e6bc3
a63c40d3d90674d2 -> 7dbbfbc6840b73ae
de9c9b69f41b9a80 -> 6d4f06676ca0ec79
9ea87bbab79c4247 -> 1f1c328113ccbc63
b1b43d016aad9842 -> a2ea2e7e776eebd9
6296e02bef3930b4 -> 57bc9e73a167fa2d
48f466e8701f1cf3 -> b5d167ad44750ffa
cabecb459b1c630e -> 785c5fbe13a4e52b
26a88f6f0c211eb0 -> 98252d845dd75886
e26a1fc613bedbd1 -> e83d274e5a4530a9
3a0405a1369655e6 -> f819e29dbb35783b
a543ddcc2845c2fb -> 1f57e4709bba5c39
d0328a0c74b0d06d -> 5bcb56141ca21bc6
e82e2b36b4f941b4 -> d9f5150397ec993b
ec53dac356b816b3 -> 7fbee7c25f57183d
43c608ee3118de27 -> 1a0e20eaa2f23a0e
f3ec8e63c0548201 -> 72f2c1b290d1c3c1
8913ae6e080ef09c -> 716b92569cd4a9d5
0a815764d3f9874c -> 3fdcc307a57fe15b
1da0ba7292aa5229 -> 1f0fadbdff18cf73
c59e53f1f7a82e3a -> 2cfcb52d2029fbde
49549a11f93cada2 -> 6dd7f1bb866ae409
d2d11339425eb4d3 -> 49a417c2b41cc909
6fa1daa8833d0804 -> 655fe33a2661df7a
e71ef563a9028fcd -> 2ce47a65ddca0f32
58a320f38037c9cd -> e39b7496b3348248
ffaeafc23d52a523 -> 4994adc534553a40
5db3ac04366c9985 -> 70b214301f4f2d95
c09c86ba50ec857c -> 1f434ea1e4720dc7
b2440b6f57baea74 -> 9c18a5557ba3d0f6
cafebe5431aa3ea4 -> 1965f51252ef1728
ebc7e245af875a48 -> c346644ef536f219
57877fc1422bd847 -> 9ac43b4e6c4ef64e
ed309dee0bbaeed9 -> 15aa38911f6ae33c
6730a7ef1f4bb48f -> e53d5889847b98bc
38aaf48934cca96a -> f127e7659c08bca7
ce4c18c31c302a6f -> 30be8fb4ef19dcec
106e6ef5b27d2d2e -> a705ab468ffb352d
816b68af857645f8 -> 5083ed4d4371d16d
8c6456a7dd565f01 -> c4ddba5c80b8e71f
bb9ab2b041762aaf -> 6d4618e8b0cc3892
bc744d1328ef557f -> d1fec70ef46fb799
d1cab7f8fc00f83e -> b429a0b32825617c
76d5d29378e42333 -> 4df4e82d02447100
b49664a53931e2e7 -> 4cfb7e0d229993db
